isic_id,diagnosis_1,R_mean,G_mean,B_mean,R_std,G_std,B_std
ISIC_9018538,Benign,176.63292,130.356,102.697815,11.205811,13.609921,14.1689625
ISIC_1983761,Benign,109.17584,93.942024,96.785126,13.156308,16.546158,19.856728
ISIC_0479656,Benign,169.20201,128.49078,136.31815,17.908665,28.806725,28.66544
ISIC_0907716,Benign,138.96623,97.88994,80.85461,9.694577,12.155904,13.155671
ISIC_5403927,Benign,171.37192,130.75703,93.63151,23.471638,22.430202,20.77612
ISIC_9140973,Benign,189.96645,149.70572,130.08531,13.682806,18.653086,20.270258
ISIC_2338396,Benign,172.79308,135.69199,111.01164,15.61226,16.570507,16.375513
ISIC_8853941,Benign,188.39754,183.64514,182.20566,19.43311,23.01057,25.10541
ISIC_8184627,Benign,183.56383,123.34483,93.912895,17.85494,22.74724,21.478485
ISIC_5511326,Benign,206.56897,170.4793,128.78688,14.392696,17.358025,19.21316
ISIC_1210456,Benign,148.35478,108.832886,101.87646,18.989372,20.866873,22.397003
ISIC_1148803,Benign,160.51878,111.423,77.02718,15.434113,19.91082,17.612526
ISIC_4532622,Benign,193.02588,167.71089,142.74463,30.561792,33.22338,33.19115
ISIC_0169510,Benign,194.82877,133.50578,113.04713,16.583424,15.061512,14.121993
ISIC_8271995,Benign,208.24255,184.99031,170.58308,10.153995,14.20917,17.06559
ISIC_9361398,Benign,163.48033,142.20581,143.06873,22.28264,42.8907,48.570194
ISIC_3094215,Benign,169.89485,153.85944,128.42502,20.937267,31.336424,33.395096
ISIC_6171480,Benign,180.36021,109.48772,83.429146,12.855527,14.208831,14.366201
ISIC_3488397,Benign,171.79585,159.45134,157.30531,19.732845,13.063303,7.820701
ISIC_7302180,Benign,146.0738,130.52565,122.23374,23.031404,32.11032,48.32788
ISIC_1345175,Benign,197.3969,151.81197,129.13084,14.415699,16.378183,18.113462
ISIC_2581720,Benign,151.25261,118.39958,107.637146,13.24259,17.716066,19.69861
ISIC_2999230,Benign,173.32997,140.88455,107.422516,13.671187,15.601332,18.082006
ISIC_0390452,Benign,180.57542,146.93434,150.04865,25.94206,32.129402,37.571796
ISIC_2110451,Benign,181.56615,159.70572,137.25293,6.0842805,9.523504,14.379048
ISIC_4018978,Indeterminate,150.4255,119.92818,112.27954,8.730989,11.282785,11.481637
ISIC_4648640,Indeterminate,166.07587,117.9802,123.3111,17.248606,25.792484,25.96844
ISIC_3181599,Indeterminate,197.9022,154.94383,135.42299,9.270931,13.083962,13.138872
ISIC_4668008,Indeterminate,177.36732,152.6214,141.86401,10.934366,17.415302,22.580156
ISIC_3009842,Indeterminate,192.17422,156.26448,157.70251,14.045361,23.190186,26.731659
ISIC_5438818,Indeterminate,190.97758,158.16747,139.84673,16.385426,22.682663,23.51335
ISIC_4534460,Indeterminate,113.53776,86.800545,98.96832,9.821703,13.742934,18.03973
ISIC_5820253,Indeterminate,155.97437,132.9093,123.86071,38.789482,40.01027,43.628178
ISIC_6455546,Indeterminate,130.65793,81.83518,67.73572,37.55033,25.8085,25.869194
ISIC_8058034,Indeterminate,113.23867,88.16065,76.11244,16.241436,19.037437,21.812172
ISIC_9490027,Indeterminate,200.41212,137.57259,128.05061,42.66612,33.83355,31.442194
ISIC_7474570,Indeterminate,160.79651,132.43185,137.69417,20.501541,23.16832,25.14971
ISIC_5319529,Indeterminate,117.14209,78.60047,66.9211,26.842215,22.465137,22.533043
ISIC_1957687,Indeterminate,176.6974,133.16997,106.76419,17.19779,18.606672,19.31054
ISIC_8150619,Indeterminate,182.69728,109.22787,86.62431,13.255667,18.778572,17.587532
ISIC_7929528,Indeterminate,207.40265,157.64932,158.61124,28.540138,28.769625,29.506119
ISIC_9648502,Indeterminate,174.38779,97.72171,81.76761,13.696575,17.775913,17.065046
ISIC_1634592,Indeterminate,134.30168,112.48902,105.4613,17.856806,21.363552,24.311049
ISIC_3220453,Indeterminate,154.05208,117.60807,94.86637,24.888014,26.87011,28.560785
ISIC_2585669,Indeterminate,143.17734,115.76254,107.994026,19.368645,26.608421,26.507227
ISIC_9183026,Indeterminate,159.6933,93.40551,66.20129,19.118265,19.97397,19.632545
ISIC_7885691,Indeterminate,119.49366,81.31421,74.37199,21.383835,25.413916,28.650629
ISIC_6600474,Indeterminate,118.15363,79.581085,63.432453,20.318163,18.021833,19.469683
ISIC_5289955,Indeterminate,145.31984,78.96798,63.39029,69.779755,47.76017,40.91053
ISIC_1940714,Indeterminate,120.80851,92.119064,86.11021,19.293276,19.48426,21.869862
ISIC_9816264,Malignant,188.5764,152.2336,133.7363,26.938799,25.968678,24.44087
ISIC_1432273,Malignant,169.41167,119.97027,104.44136,25.576437,21.450964,15.024311
ISIC_4104512,Malignant,165.33092,108.02902,80.62087,12.594641,15.456561,15.894593
ISIC_2001011,Malignant,169.68594,130.15291,107.86126,15.612027,26.810694,24.292746
ISIC_0127217,Malignant,185.65523,145.51001,114.54159,12.531409,14.938065,18.348608
ISIC_0147255,Malignant,182.92422,144.39464,140.61865,7.9693627,25.537384,28.420906
ISIC_0507021,Malignant,167.25188,147.01253,154.27959,7.758688,15.832187,19.12547
ISIC_0817963,Malignant,163.73676,121.52273,78.95034,14.714597,17.56051,18.250904
ISIC_7237752,Malignant,169.06462,119.84356,92.31605,11.303193,14.296374,15.027427
ISIC_2846074,Malignant,173.29073,140.21342,112.39043,11.569378,15.795754,20.146559
ISIC_8293683,Malignant,188.89297,137.47298,141.6377,13.763715,20.123672,26.657257
ISIC_6356372,Malignant,169.21158,140.88463,144.20653,3.2520218,13.929836,16.984875
ISIC_1841990,Malignant,189.59268,139.25233,117.61807,25.208183,25.512869,25.146029
ISIC_5842460,Malignant,174.28749,153.33,141.5529,11.597136,11.957577,14.418553
ISIC_8063764,Malignant,182.44928,139.55118,95.17511,15.275178,18.36122,19.518543
ISIC_0275196,Malignant,151.69725,99.632034,90.20089,17.54462,21.987343,22.487669
ISIC_4629088,Malignant,151.00963,130.75345,128.81476,14.853931,17.13222,19.219826
ISIC_3917002,Malignant,200.79674,164.11809,144.01091,26.789076,32.30954,35.677155
ISIC_3885903,Malignant,210.39555,169.75424,148.8185,19.173092,27.544104,30.026974
